

End Points:

   Index   Instance                                                                                                                                                                                                                                                                                                 Pin               Type   Start Clock                                                      End Clock                                                        Clock Delay    Req Per     Slack
      15   pre_prf_gen_inst/delay_count[5]                                                                                                                                                                                                                                                                          CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.254
      16   pre_prf_gen_inst/delay_count[6]                                                                                                                                                                                                                                                                          CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.254
      17   pre_prf_gen_inst/delay_count[7]                                                                                                                                                                                                                                                                          CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.254
      18   pre_prf_gen_inst/delay_count[8]                                                                                                                                                                                                                                                                          CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.254
      19   pre_prf_gen_inst/delay_count[9]                                                                                                                                                                                                                                                                          CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.254
      20   myvio_inst/U0/I_VIO/U_STATUS/U_TDO                                                                                                                                                                                                                                                                       D                 reg    myicon|U0/U_ICON/I_YES_BSCAN_U_BS/iDRCK_LOCAL_inferred_clock:r   myicon|U0/U_ICON/I_YES_BSCAN_U_BS/iDRCK_LOCAL_inferred_clock:r         2.455   1000.000   993.309
      21   myvio_inst/U0/I_VIO/U_STATUS/U_TDO                                                                                                                                                                                                                                                                       D                 reg    System                                                           myicon|U0/U_ICON/I_YES_BSCAN_U_BS/iDRCK_LOCAL_inferred_clock:r         2.455   1000.000   993.803
      22   pwr_rst_inst/delay_clock_count[0]                                                                                                                                                                                                                                                                        CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.868
      23   pwr_rst_inst/delay_clock_count[10]                                                                                                                                                                                                                                                                       CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.868
      24   pwr_rst_inst/delay_clock_count[11]                                                                                                                                                                                                                                                                       CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.868
      25   pwr_rst_inst/delay_clock_count[12]                                                                                                                                                                                                                                                                       CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.868
      26   pwr_rst_inst/delay_clock_count[13]                                                                                                                                                                                                                                                                       CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.868
      27   pwr_rst_inst/delay_clock_count[14]                                                                                                                                                                                                                                                                       CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.868
      28   pwr_rst_inst/delay_clock_count[15]                                                                                                                                                                                                                                                                       CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.868
      29   pwr_rst_inst/delay_clock_count[16]                                                                                                                                                                                                                                                                       CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.868
      30   pwr_rst_inst/delay_clock_count[17]                                                                                                                                                                                                                                                                       CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.868
      31   pwr_rst_inst/delay_clock_count[18]                                                                                                                                                                                                                                                                       CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.868
      32   pwr_rst_inst/delay_clock_count[19]                                                                                                                                                                                                                                                                       CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.868
      33   pwr_rst_inst/delay_clock_count[1]                                                                                                                                                                                                                                                                        CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.868
      34   pwr_rst_inst/delay_clock_count[20]                                                                                                                                                                                                                                                                       CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.868
      35   pwr_rst_inst/delay_clock_count[21]                                                                                                                                                                                                                                                                       CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.868
      36   pwr_rst_inst/delay_clock_count[22]                                                                                                                                                                                                                                                                       CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.868
      37   pwr_rst_inst/delay_clock_count[23]                                                                                                                                                                                                                                                                       CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.868
      38   pwr_rst_inst/delay_clock_count[2]                                                                                                                                                                                                                                                                        CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.868
      39   pwr_rst_inst/delay_clock_count[3]                                                                                                                                                                                                                                                                        CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.868
      40   pwr_rst_inst/delay_clock_count[4]                                                                                                                                                                                                                                                                        CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.868
      41   pwr_rst_inst/delay_clock_count[5]                                                                                                                                                                                                                                                                        CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.868
      42   pwr_rst_inst/delay_clock_count[6]                                                                                                                                                                                                                                                                        CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.868
      43   pwr_rst_inst/delay_clock_count[7]                                                                                                                                                                                                                                                                        CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.868
      44   pwr_rst_inst/delay_clock_count[8]                                                                                                                                                                                                                                                                        CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.868
      45   pwr_rst_inst/delay_clock_count[9]                                                                                                                                                                                                                                                                        CE                reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   993.868
      46   pwr_rst_inst/rst                                                                                                                                                                                                                                                                                         D                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   994.063
      47   pwr_rst_inst/rst_1                                                                                                                                                                                                                                                                                       D                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   994.063
      48   pwr_rst_inst/rst_2                                                                                                                                                                                                                                                                                       D                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   994.063
      49   pre_prf_gen_inst/fsm_state[0]                                                                                                                                                                                                                                                                            D                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   994.294
      50   pre_prf_gen_inst/fsm_state[3]                                                                                                                                                                                                                                                                            D                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   994.294
      51   pre_prf_gen_inst/fsm_state[4]                                                                                                                                                                                                                                                                            D                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   994.294
      52   pre_prf_gen_inst/fsm_state[9]                                                                                                                                                                                                                                                                            D                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   994.294
      53   pre_prf_gen_inst/fsm_state[1]                                                                                                                                                                                                                                                                            D                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   994.339
      54   myila_inst/U0/I_NO_D\.U_ILA/U_STAT/U_TDO                                                                                                                                                                                                                                                                 D                 reg    myicon|U0/U_ICON/I_YES_BSCAN_U_BS/iDRCK_LOCAL_inferred_clock:r   myicon|U0/U_ICON/I_YES_BSCAN_U_BS/iDRCK_LOCAL_inferred_clock:r         2.455   1000.000   994.435
      55   ad9914_ctrl_inst_1/ad9914_reg_wr_inst/parallel_wr_inst/delay_count[0]                                                                                                                                                                                                                                    R                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   994.497
      56   ad9914_ctrl_inst_1/ad9914_reg_wr_inst/parallel_wr_inst/delay_count[10]                                                                                                                                                                                                                                   R                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   994.497
      57   ad9914_ctrl_inst_1/ad9914_reg_wr_inst/parallel_wr_inst/delay_count[11]                                                                                                                                                                                                                                   R                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   994.497
      58   ad9914_ctrl_inst_1/ad9914_reg_wr_inst/parallel_wr_inst/delay_count[12]                                                                                                                                                                                                                                   R                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   994.497
      59   ad9914_ctrl_inst_1/ad9914_reg_wr_inst/parallel_wr_inst/delay_count[13]                                                                                                                                                                                                                                   R                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   994.497
      60   ad9914_ctrl_inst_1/ad9914_reg_wr_inst/parallel_wr_inst/delay_count[14]                                                                                                                                                                                                                                   R                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   994.497
      61   ad9914_ctrl_inst_1/ad9914_reg_wr_inst/parallel_wr_inst/delay_count[15]                                                                                                                                                                                                                                   R                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   994.497
      62   ad9914_ctrl_inst_1/ad9914_reg_wr_inst/parallel_wr_inst/delay_count[1]                                                                                                                                                                                                                                    R                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   994.497
      63   ad9914_ctrl_inst_1/ad9914_reg_wr_inst/parallel_wr_inst/delay_count[2]                                                                                                                                                                                                                                    R                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   994.497
      64   ad9914_ctrl_inst_1/ad9914_reg_wr_inst/parallel_wr_inst/delay_count[3]                                                                                                                                                                                                                                    R                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   994.497
      65   ad9914_ctrl_inst_1/ad9914_reg_wr_inst/parallel_wr_inst/delay_count[4]                                                                                                                                                                                                                                    R                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   994.497
      66   ad9914_ctrl_inst_1/ad9914_reg_wr_inst/parallel_wr_inst/delay_count[5]                                                                                                                                                                                                                                    R                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   994.497
      67   ad9914_ctrl_inst_1/ad9914_reg_wr_inst/parallel_wr_inst/delay_count[6]                                                                                                                                                                                                                                    R                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   994.497
      68   ad9914_ctrl_inst_1/ad9914_reg_wr_inst/parallel_wr_inst/delay_count[7]                                                                                                                                                                                                                                    R                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   994.497
      69   ad9914_ctrl_inst_1/ad9914_reg_wr_inst/parallel_wr_inst/delay_count[8]                                                                                                                                                                                                                                    R                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   994.497
      70   ad9914_ctrl_inst_1/ad9914_reg_wr_inst/parallel_wr_inst/delay_count[9]                                                                                                                                                                                                                                    R                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   994.497
      71   protocol_inst/cmd_rx_inst/uart_rx_inst/r_SM_Main[0]                                                                                                                                                                                                                                                      D                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   994.526
      72   myila_inst/U0/I_NO_D\.U_ILA/U_STAT/U_STAT_CNT/G\[0\]\.U_FDRE                                                                                                                                                                                                                                             R                 reg    myicon|U0/U_ICON/I_YES_BSCAN_U_BS/iDRCK_LOCAL_inferred_clock:r   myicon|U0/U_ICON/I_YES_BSCAN_U_BS/iDRCK_LOCAL_inferred_clock:r         2.455   1000.000   994.547
      73   myila_inst/U0/I_NO_D\.U_ILA/U_STAT/U_STAT_CNT/G\[1\]\.U_FDRE                                                                                                                                                                                                                                             R                 reg    myicon|U0/U_ICON/I_YES_BSCAN_U_BS/iDRCK_LOCAL_inferred_clock:r   myicon|U0/U_ICON/I_YES_BSCAN_U_BS/iDRCK_LOCAL_inferred_clock:r         2.455   1000.000   994.547
      74   myila_inst/U0/I_NO_D\.U_ILA/U_STAT/U_STAT_CNT/G\[2\]\.U_FDRE                                                                                                                                                                                                                                             R                 reg    myicon|U0/U_ICON/I_YES_BSCAN_U_BS/iDRCK_LOCAL_inferred_clock:r   myicon|U0/U_ICON/I_YES_BSCAN_U_BS/iDRCK_LOCAL_inferred_clock:r         2.455   1000.000   994.547
      75   myila_inst/U0/I_NO_D\.U_ILA/U_STAT/U_STAT_CNT/G\[3\]\.U_FDRE                                                                                                                                                                                                                                             R                 reg    myicon|U0/U_ICON/I_YES_BSCAN_U_BS/iDRCK_LOCAL_inferred_clock:r   myicon|U0/U_ICON/I_YES_BSCAN_U_BS/iDRCK_LOCAL_inferred_clock:r         2.455   1000.000   994.547
      76   myila_inst/U0/I_NO_D\.U_ILA/U_STAT/U_STAT_CNT/G\[4\]\.U_FDRE                                                                                                                                                                                                                                             R                 reg    myicon|U0/U_ICON/I_YES_BSCAN_U_BS/iDRCK_LOCAL_inferred_clock:r   myicon|U0/U_ICON/I_YES_BSCAN_U_BS/iDRCK_LOCAL_inferred_clock:r         2.455   1000.000   994.547
      77   myila_inst/U0/I_NO_D\.U_ILA/U_STAT/U_STAT_CNT/G\[5\]\.U_FDRE                                                                                                                                                                                                                                             R                 reg    myicon|U0/U_ICON/I_YES_BSCAN_U_BS/iDRCK_LOCAL_inferred_clock:r   myicon|U0/U_ICON/I_YES_BSCAN_U_BS/iDRCK_LOCAL_inferred_clock:r         2.455   1000.000   994.547
      78   myila_inst/U0/I_NO_D\.U_ILA/U_STAT/U_STAT_CNT/G\[6\]\.U_FDRE                                                                                                                                                                                                                                             R                 reg    myicon|U0/U_ICON/I_YES_BSCAN_U_BS/iDRCK_LOCAL_inferred_clock:r   myicon|U0/U_ICON/I_YES_BSCAN_U_BS/iDRCK_LOCAL_inferred_clock:r         2.455   1000.000   994.547
      79   myila_inst/U0/I_NO_D\.U_ILA/U_STAT/U_STAT_CNT/G\[7\]\.U_FDRE                                                                                                                                                                                                                                             R                 reg    myicon|U0/U_ICON/I_YES_BSCAN_U_BS/iDRCK_LOCAL_inferred_clock:r   myicon|U0/U_ICON/I_YES_BSCAN_U_BS/iDRCK_LOCAL_inferred_clock:r         2.455   1000.000   994.547
      80   myila_inst/U0/I_NO_D\.U_ILA/U_STAT/U_STAT_CNT/G\[8\]\.U_FDRE                                                                                                                                                                                                                                             R                 reg    myicon|U0/U_ICON/I_YES_BSCAN_U_BS/iDRCK_LOCAL_inferred_clock:r   myicon|U0/U_ICON/I_YES_BSCAN_U_BS/iDRCK_LOCAL_inferred_clock:r         2.455   1000.000   994.547
      81   myila_inst/U0/I_NO_D\.U_ILA/U_STAT/U_STAT_CNT/G\[9\]\.U_FDRE                                                                                                                                                                                                                                             R                 reg    myicon|U0/U_ICON/I_YES_BSCAN_U_BS/iDRCK_LOCAL_inferred_clock:r   myicon|U0/U_ICON/I_YES_BSCAN_U_BS/iDRCK_LOCAL_inferred_clock:r         2.455   1000.000   994.547
      82   myicon_inst/U0/U_ICON/U_TDO_reg                                                                                                                                                                                                                                                                          D                 reg    System                                                           myicon|U0/U_ICON/I_YES_BSCAN_U_BS/iDRCK_LOCAL_inferred_clock:r         2.455   1000.000   994.561
      83   ad9914_ctrl_inst_2/ad9914_reg_wr_inst/parallel_wr_inst/delay_count[0]                                                                                                                                                                                                                                    R                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   994.686
      84   ad9914_ctrl_inst_2/ad9914_reg_wr_inst/parallel_wr_inst/delay_count[10]                                                                                                                                                                                                                                   R                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   994.686
      85   ad9914_ctrl_inst_2/ad9914_reg_wr_inst/parallel_wr_inst/delay_count[11]                                                                                                                                                                                                                                   R                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   994.686
      86   ad9914_ctrl_inst_2/ad9914_reg_wr_inst/parallel_wr_inst/delay_count[12]                                                                                                                                                                                                                                   R                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   994.686
      87   ad9914_ctrl_inst_2/ad9914_reg_wr_inst/parallel_wr_inst/delay_count[13]                                                                                                                                                                                                                                   R                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   994.686
      88   ad9914_ctrl_inst_2/ad9914_reg_wr_inst/parallel_wr_inst/delay_count[14]                                                                                                                                                                                                                                   R                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   994.686
      89   ad9914_ctrl_inst_2/ad9914_reg_wr_inst/parallel_wr_inst/delay_count[15]                                                                                                                                                                                                                                   R                 reg    top|clk:r                                                        top|clk:r                                                              4.406   1000.000   994.686
